Группы,UUID,Тип,Код,Наименование,Внешний код,Артикул,Единица измерения,Цена: Розничная цена,Закупочная цена,Описание,Минимальная цена,Страна,НДС,Поставщик,Вес,Объем,"Доп. поле: Розничная наценка, %",Доп. поле: Длина,Доп. поле: Ширина,Доп. поле: Высота,Доп. поле: Бренд,Доп. поле: Артикул поставщика,Доп. поле: Артикул производителя,Доп. поле: Кратность отгрузки,Доп. поле: ОЕМ номер
КАТЕГОРИИ ТОВАРОВ/Автолампы,525fcc25-e9ea-11ec-0a80-06070008870b,Товар,7-080670,Комплект ламп накаливания блистер 2шт W5W 12V 5W W2.1x9.5d Pure Light,Ш969184,1987301026,,"250,00","171,00",Комплект ламп накаливания блистер 2шт W5W 12V 5W W2.1x9.5d Pure Light,"190,00",,20,"ООО ""ШАТЕ-М ПЛЮС""",0,0,43,,,,BOSCH,969184,1987301026,1,1987301026
КАТЕГОРИИ ТОВАРОВ/Автолампы,585e77d9-3bb4-11ec-0a80-00c8000609d4,Товар,1-015313,Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь желтая 10 шт. Osram,В137488a,7507,компл,"100,00","67,19",Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь желтая 10 шт. Osram,"80,00",Италия,20,"ООО ""ТД ВОСХОД""",95,"0,0005",43,140,60,55,OSRAM,137488a,7507,1,7507
КАТЕГОРИИ ТОВАРОВ/Автолампы,5b5a2214-fd17-11eb-0a80-0742001ad6b6,Товар,1-015016,"Лампа 12 В  1,2 Вт без цоколя приборная 10 шт. Маяк 61212бц/81212бц",В139809a,61212бц/10,компл,"20,00","7,57","Лампа 12 В  1,2 Вт без цоколя приборная 10 шт. Маяк 61212бц/81212бц","10,00",Китай,20,"ООО ""ТД ВОСХОД""","0,01",0,43,10,4,1,Маяк,139809a,61212бц,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,5b9dc487-3bb4-11ec-0a80-00c800060eeb,Товар,1-015432,Лампа 12 В H1  55 Вт дальнего света +20% Cool Blue 4200(4000)K Osram,В4618a,64150CBI,шт,"560,00","388,85",Лампа 12 В H1  55 Вт дальнего света +20% Cool Blue 4200(4000)K Osram,"430,00",Германия,20,"ООО ""ТД ВОСХОД""",10,0,43,25,25,70,OSRAM,4618a,64150CBI,1,64150CBI
КАТЕГОРИИ ТОВАРОВ/Автолампы,5bccc60c-3bb4-11ec-0a80-00c800060f42,Товар,1-015435,Лампа 12 В H1  55 Вт дальнего света +30% Philips,В4624a,12258PRC1,шт,"290,00","199,14",Лампа 12 В H1  55 Вт дальнего света +30% Philips,"220,00",Китай,20,"ООО ""ТД ВОСХОД""",10,"0,0001",43,25,30,90,PHILIPS,4624a,12258PRC1,1,12258PRC1
КАТЕГОРИИ ТОВАРОВ/Автолампы,72abf105-fd06-11eb-0a80-0742001470cb,Товар,1-015533,Лампа 12 В H11 55 Вт PGJ19-2 Диалуч 12511,В27495a,12511,шт,"210,00","141,12",Лампа 12 В H11 55 Вт PGJ19-2 Диалуч 12511,"160,00",Китай,20,"ООО ""ТД ВОСХОД""","0,025","0,0001",43,4,7,"4,5",Диалуч,27495a,12511,1,12511
КАТЕГОРИИ ТОВАРОВ/Автолампы,7668bcb1-fd05-11eb-0a80-07420013a128,Товар,1-064511К,"Лампа 12 В  1,2 Вт без цоколя T5 приборная Masuma L505",В158322c,L505,шт,"30,00","17,84","Лампа 12 В  1,2 Вт без цоколя T5 приборная Masuma L505","20,00",Китай,20,"ООО ""ТД ВОСХОД""",1,"0,000001",43,18,5,5,MASUMA,158322c,L505,10,
КАТЕГОРИИ ТОВАРОВ/Автолампы,7cfbe4c3-fd06-11eb-0a80-0742001479be,Товар,1-015281,Лампа 12 В 21 Вт 1-контактная металлический цоколь 10 шт. Vegas AVS,В48785a,A78178S,компл,"40,00","17,50",Лампа 12 В 21 Вт 1-контактная металлический цоколь 10 шт. Vegas AVS,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,09","0,0003",100,14,6,3,AVS,48785a,A78178S,1,A78178S
КАТЕГОРИИ ТОВАРОВ/Автолампы,7d05bb7e-fd06-11eb-0a80-0742001479ca,Товар,1-015302,Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь желтая Vegas 10 шт. AVS,В48789a,A78179S,компл,"40,00","17,50",Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь желтая Vegas 10 шт. AVS,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,02","0,0004",100,14,"5,5",5,AVS,48789a,A78179S,1,A78179S
КАТЕГОРИИ ТОВАРОВ/Автолампы,7eed2774-fd06-11eb-0a80-074200147b95,Товар,1-015309,Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь box 10 шт. Vegas AVS,В51755a,A78338S,компл,"30,00","17,60",Лампа 12 В 21 Вт 1-контактная смещенный металлический цоколь box 10 шт. Vegas AVS,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,1","0,0004",43,"13,5","5,5","5,5",AVS,51755a,A78338S,1,A78338S
