Группы,UUID,Тип,Код,Наименование,Внешний код,Артикул,Единица измерения,Цена: Розничная цена,Закупочная цена,Описание,Минимальная цена,Страна,НДС,Поставщик,Вес,Объем,"Доп. поле: Розничная наценка, %",Доп. поле: Длина,Доп. поле: Ширина,Доп. поле: Высота,Доп. поле: Бренд,Доп. поле: Артикул поставщика,Доп. поле: Артикул производителя,Доп. поле: Кратность отгрузки,Доп. поле: ОЕМ номер
КАТЕГОРИИ ТОВАРОВ/Двигатель,21a1f1e2-328f-11ee-0a80-035b00045536,Товар,11-000304,Набор прокладок ДВС ЗМЗ-406 Стандарт Квадратис в уп.,17_00126143,KVP-406-3906022-88-02,компл,"960,00","676,61",Набор прокладок ДВС ЗМЗ-406 Стандарт Квадратис в уп.,"750,00",,20,"ООО ""СТМ""",0,0,41,,,,Квадратис,17_00126143,,1,KVP-406-3906022-88-02
КАТЕГОРИИ ТОВАРОВ/Двигатель,2b2e654d-9a34-11ed-0a80-101b00258524,Товар,1-300801,Насос масляный двс 406 ЗМЗ,В26590s,406101101003,шт,"4430,00","3139,23",Насос масляный двс 406 ЗМЗ,"3460,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,ЗМЗ-АВТОКОМПОНЕНТ,26590s,,1,406101101003
КАТЕГОРИИ ТОВАРОВ/Двигатель,2d110479-22de-11ec-0a80-0016002a5d58,Товар,1-048363,Опора двс боковая ВАЗ 2108 левая Сэви,В10143v,5101,шт,"800,00","567,30",Опора двс боковая ВАЗ 2108 левая Сэви,"630,00",Россия,20,"ООО ""ТД ВОСХОД""",879,"0,0014",41,200,105,65,СЭВИ,10143v,5101,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,2d39fd94-22de-11ec-0a80-0016002a5d88,Товар,1-048366,Опора двс задняя в сборе ВАЗ 2108 эксперт Сэви,В8324v,5103,шт,"1070,00","757,00",Опора двс задняя в сборе ВАЗ 2108 эксперт Сэви,"840,00",Россия,20,"ООО ""ТД ВОСХОД""",1113,"0,0028",41,200,165,85,СЭВИ,8324v,5103,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,2d6dbe91-22de-11ec-0a80-0016002a5db9,Товар,1-048369,Опора двс передняя ВАЗ 2108 эксперт Сэви,В8671v,5102,шт,"1560,00","1104,10",Опора двс передняя ВАЗ 2108 эксперт Сэви,"1220,00",ТАЙВАНЬ,20,"ООО ""ТД ВОСХОД""",1768,"0,0028",41,235,125,95,СЭВИ,8671v,5102,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,2ec90448-e8bb-11ec-0a80-0c2e002dbb41,Товар,1-176304,Опора двс задняя в сборе Lada Vesta Rosteco,В167601v,21349,шт,"820,00","723,80",Опора двс задняя в сборе Lada Vesta Rosteco,"800,00",,20,"ООО ""ТД ВОСХОД""",0,0,13,,,,Rosteco,167601v,21349,1,21349
КАТЕГОРИИ ТОВАРОВ/Двигатель,3393dd9c-6a41-11ed-0a80-01e90002cba0,Товар,1-300424,Набивка сальниковая двс 402 8 мм 24-1005154,В10605g,24-1005154,шт,"50,00","24,96",Набивка сальниковая двс 402 8 мм 24-1005154,"30,00",,20,"ООО ""ТД ВОСХОД""",0,0,100,,,,ВАТИ-АВТО,10605g,,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,33cdb7a5-6a41-11ed-0a80-01e90002cbaa,Товар,1-300425,Набивка сальниковая двс 402 Tanaki TKG-1005154-51,В24498g,TKG-1005154-51,шт,"300,00","207,30",Набивка сальниковая двс 402 Tanaki TKG-1005154-51,"230,00",,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Tanaki,24498g,,1,TKG-1005154-51
КАТЕГОРИИ ТОВАРОВ/Двигатель,374b6539-dcec-11ed-0a80-0c5a0037e4c4,Товар,11-000141,Насос масляный 2101 VIMMER,17_00222777,VMR-21010-1011010,шт,"1270,00","893,63",Насос масляный 2101 VIMMER,"990,00",,20,"ООО ""СТМ""",0,0,41,,,,VIMMER,17_00222777,,1,VMR-21010-1011010
КАТЕГОРИИ ТОВАРОВ/Двигатель,37b8b572-dcec-11ed-0a80-0c5a0037e4dc,Товар,11-000144,Насос масляный 2121 VIMMER,17_00222778,VMR-21210-1011010,шт,"1210,00","855,00",Насос масляный 2121 VIMMER,"950,00",,20,"ООО ""СТМ""",0,0,41,,,,VIMMER,17_00222778,,1,VMR-21210-1011010
КАТЕГОРИИ ТОВАРОВ/Двигатель,37ecd240-dcec-11ed-0a80-0c5a0037e4ec,Товар,11-000142,Насос масляный 2108 VIMMER,17_00222779,VMR-2108-1011010,шт,"2570,00","1822,25",Насос масляный 2108 VIMMER,"2010,00",,20,"ООО ""СТМ""",0,0,41,,,,VIMMER,17_00222779,,1,VMR-2108-1011010
КАТЕГОРИИ ТОВАРОВ/Двигатель,395eeea4-dcec-11ed-0a80-0c5a0037e544,Товар,11-000143,Насос масляный 2112 VIMMER,17_00222776,VMR-21120-1011010,шт,"4520,00","3316,49",Насос масляный 2112 VIMMER,"3650,00",,20,"ООО ""СТМ""",0,0,36,,,,VIMMER,17_00222776,,1,VMR-21120-1011010
КАТЕГОРИИ ТОВАРОВ/Двигатель,40f9d873-c7db-11ed-0a80-04cc001c1281,Товар,ПР-000774,Направляющая цепи Г-3302 дв. Cummins 2.8 правая  Импорт,УТ000008314,5259767,шт,"300,00","212,00",Направляющая цепи Г-3302 дв. Cummins 2.8 правая  Импорт,"240,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Китай,УТ000008314,,1,5259767
КАТЕГОРИИ ТОВАРОВ/Двигатель,412e6f0f-c7db-11ed-0a80-04cc001c128d,Товар,ПР-000773,Направляющая цепи Г-3302 дв. Cummins 2.8 левая  Импорт,УТ000008313,5267973,шт,"300,00","212,00",Направляющая цепи Г-3302 дв. Cummins 2.8 левая  Импорт,"240,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Китай,УТ000008313,,1,5267973
КАТЕГОРИИ ТОВАРОВ/Двигатель,44d10c3d-0e9e-11ee-0a80-13ed0027a9e7,Товар,1-314162,"Пальцы поршневые ВАЗ 21179  4 шт. Federal Reserve, P8001713 (1шт.)",В462530v,P8001713,компл,"1050,00","740,49","Пальцы поршневые ВАЗ 21179  4 шт. Federal Reserve, P8001713 (1шт.)","820,00",Россия,20,"ООО ""ТД ВОСХОД""","0,31","0,008",41,5,8,2,Federal Mogul,462530v,21179-1004020,1,P8001713
КАТЕГОРИИ ТОВАРОВ/Двигатель,487f1665-6c27-11ee-0a80-13e6003d9aba,Товар,2-500006,"Набор прокладок двигателя 21126 полный дв.1,6, 16 клап. Фортехникс 82,0",074095,ПК-2170-С,шт,"1260,00","889,30","Набор прокладок двигателя 21126 полный дв.1,6, 16 клап. Фортехникс 82,0","980,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,Россия,074095,ПК-2170-С,1,ПК-2170-С
КАТЕГОРИИ ТОВАРОВ/Двигатель,49ef2da8-3290-11ee-0a80-0dca0004d631,Товар,11-000306,Набор прокладок ДВС ЗМЗ-406 ГБО Стандарт Фортехникс в уп.,17_00122392,PK-406,компл,"1020,00","719,80",Набор прокладок ДВС ЗМЗ-406 ГБО Стандарт Фортехникс в уп.,"800,00",,20,"ООО ""СТМ""",0,0,41,,,,Фортехникс,17_00122392,,1,PK-406
КАТЕГОРИИ ТОВАРОВ/Двигатель,57b009c3-9bd4-11ed-0a80-1026000bcada,Товар,2-300078,"Палец поршневой ГАЗ 406дв.""ЗМЗ"" (зеленый)",047626,406.1004020-04,шт,"250,00","175,50","Палец поршневой ГАЗ 406дв.""ЗМЗ"" (зеленый)","200,00",Китай,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,ЗМЗ,047626,,1,406.1004020-04
КАТЕГОРИИ ТОВАРОВ/Двигатель,58c66597-6998-11ed-0a80-07ec00321b44,Товар,1-300306,Насос масляный двс 402 Riginal,В95755s,24-1011009-02,шт,"3580,00","2628,36",Насос масляный двс 402 Riginal,"2900,00",,20,"ООО ""ТД ВОСХОД""",0,0,36,,,,Riginal,95755s,,1,24-1011009-02
КАТЕГОРИИ ТОВАРОВ/Двигатель,58fa18c0-6998-11ed-0a80-07ec00321b62,Товар,1-300307,Насос масляный двс 406 Riginal 227693,В95756s,406-1011010-03,шт,"4030,00","2961,56",Насос масляный двс 406 Riginal 227693,"3260,00",,20,"ООО ""ТД ВОСХОД""",0,0,36,,,,Riginal,95756s,,1,406-1011010-03
КАТЕГОРИИ ТОВАРОВ/Двигатель,76ec8683-e8eb-11ec-0a80-0c2e003bfc71,Товар,1-223361,"Направляющие клапанов двс 4215,4216 Herzog",В126015s,HGB 3235,компл,"1400,00","1026,46","Направляющие клапанов двс 4215,4216 Herzog","1130,00",,20,"ООО ""ТД ВОСХОД""",0,0,36,,,,Herzog,126015s,HGB 3235,1,HGB 3235
КАТЕГОРИИ ТОВАРОВ/Двигатель,7fb431b5-6faa-11ed-0a80-09a7005b7d5e,Товар,2-300029,"Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (желтый)",618267,KNG-1004020-73,компл,"1270,00","900,26","Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (желтый)","1000,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618267,,1,KNG-1004020-73
КАТЕГОРИИ ТОВАРОВ/Двигатель,7fe6c22e-6faa-11ed-0a80-09a7005b7d68,Товар,2-300033,"Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (зеленый)",618266,KNG-1004020-72,компл,"1250,00","883,19","Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (зеленый)","980,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618266,,1,KNG-1004020-72
КАТЕГОРИИ ТОВАРОВ/Двигатель,801361a1-9bd4-11ed-0a80-1026000bf55c,Товар,ПР-000419,Обод зубчатый дв.406  венец  Ульяновск,УТ000008412,406-1005125,шт,"510,00","360,00",Обод зубчатый дв.406  венец  Ульяновск,"400,00",Китай,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Нет бренда,УТ000008412,,1,406-1005125
КАТЕГОРИИ ТОВАРОВ/Двигатель,801b99c8-6faa-11ed-0a80-09a7005b7d72,Товар,2-300032,"Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (белый)",618269,KNG-1004020-71,компл,"1280,00","904,43","Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (белый)","1000,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618269,,1,KNG-1004020-71
КАТЕГОРИИ ТОВАРОВ/Двигатель,8048c258-6faa-11ed-0a80-09a7005b7d7c,Товар,2-300034,"Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (красный)",618264,KNG-1004020-74,компл,"1080,00","764,94","Палец поршневой Г-3302 дв. 4216, 421, 417 (4 шт.) ""KENO"" (красный)","850,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618264,,1,KNG-1004020-74
КАТЕГОРИИ ТОВАРОВ/Двигатель,807ac125-6faa-11ed-0a80-09a7005b7d86,Товар,2-300027,"Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (зеленый)",618272,KNG-1004020-62,компл,"1330,00","939,45","Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (зеленый)","1040,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618272,,1,KNG-1004020-62
КАТЕГОРИИ ТОВАРОВ/Двигатель,80a993c0-6faa-11ed-0a80-09a7005b7d90,Товар,2-300025,"Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (белый)",618274,KNG-1004020-61,компл,"1340,00","945,65","Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (белый)","1050,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618274,,1,KNG-1004020-61
КАТЕГОРИИ ТОВАРОВ/Двигатель,80d81e27-6faa-11ed-0a80-09a7005b7d9a,Товар,2-300028,"Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (красный)",618270,KNG-1004020-64,компл,"1250,00","883,19","Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (красный)","980,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618270,,1,KNG-1004020-64
КАТЕГОРИИ ТОВАРОВ/Двигатель,81078070-6faa-11ed-0a80-09a7005b7da8,Товар,2-300026,"Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (желтый)",618273,KNG-1004020-63,компл,"1280,00","904,43","Палец поршневой ГАЗ 406 дв. (4 шт.) ""KENO"" (желтый)","1000,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618273,,1,KNG-1004020-63
КАТЕГОРИИ ТОВАРОВ/Двигатель,813a804c-6faa-11ed-0a80-09a7005b7dc1,Товар,2-300022,"Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (желтый)",618277,KNG-1004020-67,компл,"1190,00","838,80","Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (желтый)","930,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618277,,1,KNG-1004020-67
КАТЕГОРИИ ТОВАРОВ/Двигатель,816c7eed-6faa-11ed-0a80-09a7005b7dcf,Товар,2-300023,"Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (зеленый)",618276,KNG-1004020-66,компл,"1310,00","927,03","Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (зеленый)","1020,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618276,,1,KNG-1004020-66
КАТЕГОРИИ ТОВАРОВ/Двигатель,819e887d-6faa-11ed-0a80-09a7005b7ddd,Товар,2-300021,"Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (белый)",618278,KNG-1004020-65,компл,"1310,00","922,08","Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (белый)","1020,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618278,,1,KNG-1004020-65
КАТЕГОРИИ ТОВАРОВ/Двигатель,81cfbcf8-6faa-11ed-0a80-09a7005b7def,Товар,2-300024,"Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (красный)",618275,KNG-1004020-68,компл,"1190,00","838,80","Палец поршневой ГАЗ 405, 409 дв. (4 шт.) ""KENO"" (красный)","930,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,KENO,618275,,1,KNG-1004020-68
КАТЕГОРИИ ТОВАРОВ/Двигатель,8331af05-32b2-11ee-0a80-0cbf000f4b88,Товар,2-657467,Палец поршневой для а/м Г-3302 дв. А-274 Evotech (4 шт.) KENO (белый),618262,KNG-1004020-75,компл,"1410,00","1032,95",Палец поршневой для а/м Г-3302 дв. А-274 Evotech (4 шт.) KENO (белый),"1140,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,36,,,,KENO,618262,,1,KNG-1004020-75
КАТЕГОРИИ ТОВАРОВ/Двигатель,8362b2e2-32b2-11ee-0a80-0cbf000f4b92,Товар,2-657468,Палец поршневой для а/м Г-3302 дв. А-274 Evotech (4 шт.) KENO (зеленый),618258,KNG-1004020-76,компл,"1410,00","1032,95",Палец поршневой для а/м Г-3302 дв. А-274 Evotech (4 шт.) KENO (зеленый),"1140,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,36,,,,KENO,618258,,1,KNG-1004020-76
КАТЕГОРИИ ТОВАРОВ/Двигатель,842c70e4-9bd4-11ed-0a80-1026000bf792,Товар,1-300989,Направляющие клапанов двс 402,В10639g,4022-1007033/38,компл,"790,00","556,25",Направляющие клапанов двс 402,"620,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Н.Новгород,10639g,,1,4022-1007033/38
КАТЕГОРИИ ТОВАРОВ/Двигатель,8466ef5c-fecd-11ee-0a80-048d001a3e98,Товар,1-500023,"Опора болта натяжного устройства двс 406, 514 под звездочку",В17555s,514.1006095,компл,"2000,00","1466,69","Опора болта натяжного устройства двс 406, 514 под звездочку","1620,00",,20,"ООО ""ТД ВОСХОД""",0,0,36,,,,,17555s,514.1006095,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,86a725e0-7eef-11ef-0a80-1935009eedb4,Товар,2-755525,Отметчик распредвала ГАЗ 406 дв. БЕЛЗАН 406384702620,045933,406384702620,,"90,00","40,60",Отметчик распредвала ГАЗ 406 дв. БЕЛЗАН 406384702620,"50,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,100,,,,БЕЛЗАН,045933,406384702620,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,909f67c5-9bd4-11ed-0a80-1026000bfbba,Товар,1-300995,Опора двс задняя в сборе ВАЗ 2108 ВРТ,В2424v,21081001031,шт,"650,00","457,98",Опора двс задняя в сборе ВАЗ 2108 ВРТ,"510,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,ВРТ,2424v,,1,21081001031
КАТЕГОРИИ ТОВАРОВ/Двигатель,94827b25-32ae-11ee-0a80-0cbf000d4ec9,Товар,2-657270,Набор прокладок двигателя ГАЗ 406 дв. (16 поз.) КВАДРАТИС,675936,KVS-406-3906022-02,компл,"180,00","123,30",Набор прокладок двигателя ГАЗ 406 дв. (16 поз.) КВАДРАТИС,"140,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,КВАДРАТИС,675936,,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,974c2424-9bd4-11ed-0a80-1026000bfef5,Товар,1-300990,Направляющие клапанов двс 406,В10205g,406-17011960,компл,"920,00","645,62",Направляющие клапанов двс 406,"720,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,Н.Новгород,10205g,,1,406-17011960
КАТЕГОРИИ ТОВАРОВ/Двигатель,9db53afa-9bd4-11ed-0a80-1026000c016e,Товар,2-300077,Направляющие втулки клапанов ГАЗ 406 дв.(16шт.),006872,406.1007030/1,компл,"1360,00","964,10",Направляющие втулки клапанов ГАЗ 406 дв.(16шт.),"1070,00",Китай,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,Иваново,006872,,1,406.1007030/1
КАТЕГОРИИ ТОВАРОВ/Двигатель,a32bc444-32b1-11ee-0a80-0cbf000ef491,Товар,2-657264,Набор прокладок двигателя ГАЗ 405 дв (полный) с ГБО Стандарт КВАДРАТИС,619548,KVP-405-3906022-06,компл,"1310,00","922,10",Набор прокладок двигателя ГАЗ 405 дв (полный) с ГБО Стандарт КВАДРАТИС,"1020,00",,20,"ООО ""АВТО-ТРАСТ""",0,0,41,,,,КВАДРАТИС,619548,,1,KVP-405-3906022-06
КАТЕГОРИИ ТОВАРОВ/Двигатель,a54d6e7e-4249-11ee-0a80-0dba001a0bd2,Товар,11-500506,Набор прокладок ДВС ЗМЗ-406 пробка Стандарт Квадратис в уп.,17_00126144,KVP-406-3906022-04,компл,"1100,00","778,19",Набор прокладок ДВС ЗМЗ-406 пробка Стандарт Квадратис в уп.,"860,00",,20,"ООО ""СТМ""",0,0,41,,,,Квадратис,17_00126144,,1,KVP-406-3906022-04
КАТЕГОРИИ ТОВАРОВ/Двигатель,ab06a365-6efc-11ed-0a80-08550017d496,Товар,ПР-000157,Набор прокладок двигателя дв.4216 малый (11 наим. паронит)  Techno Drive,УТ000005185,10-68-221,к-т,"130,00","70,00",Набор прокладок двигателя дв.4216 малый (11 наим. паронит)  Techno Drive,"80,00",,20,ИП Куканов Александр Алексеевич,0,0,72,,,,Techno Drive,УТ000005185,,1,10-68-221
КАТЕГОРИИ ТОВАРОВ/Двигатель,ab3db1c3-6efc-11ed-0a80-08550017d4a2,Товар,ПР-000154,Набор прокладок двигателя дв.406 малый (17 наим.-паронит)  Techno Drive,УТ000005168,06-02-321,к-т,"170,00","110,00",Набор прокладок двигателя дв.406 малый (17 наим.-паронит)  Techno Drive,"130,00",,20,ИП Куканов Александр Алексеевич,0,0,52,,,,Techno Drive,УТ000005168,,1,06-02-321
КАТЕГОРИИ ТОВАРОВ/Двигатель,aeddcb2b-6efc-11ed-0a80-08550017d570,Товар,ПР-000155,"Набор прокладок двигателя дв.406 полный с ПГБЦ (паронит,22 дет.)  Techno Drive  ПРОФИ",УТ000011920,06-60-221,к-т,"860,00","608,00","Набор прокладок двигателя дв.406 полный с ПГБЦ (паронит,22 дет.)  Techno Drive  ПРОФИ","670,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Techno Drive,УТ000011920,,1,06-60-221
КАТЕГОРИИ ТОВАРОВ/Двигатель,af822661-6efc-11ed-0a80-08550017d591,Товар,ПР-000152,"Набор прокладок двигателя дв.405 полный с ПГБЦ (паронит,20 дет.)  Techno Drive  ПРОФИ",УТ000011923,06-91-211,к-т,"980,00","693,00","Набор прокладок двигателя дв.405 полный с ПГБЦ (паронит,20 дет.)  Techno Drive  ПРОФИ","770,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Techno Drive,УТ000011923,,1,06-91-211
КАТЕГОРИИ ТОВАРОВ/Двигатель,b0259710-6efc-11ed-0a80-08550017d5b2,Товар,ПР-000158,"Набор прокладок двигателя дв.4216 полный Г-3302""Бизнес"" (пробка,герметик).",УТ000005187,5187,к-т,"820,00","580,00","Набор прокладок двигателя дв.4216 полный Г-3302""Бизнес"" (пробка,герметик).","640,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Techno Drive,УТ000005187,,1,5187
КАТЕГОРИИ ТОВАРОВ/Двигатель,b05999e2-6efc-11ed-0a80-08550017d5be,Товар,ПР-000156,"Набор прокладок двигателя дв.406 полный с ПГБЦ (пробка,герметик)  ПРОФИ",УТ000005171,5171,к-т,"1160,00","817,00","Набор прокладок двигателя дв.406 полный с ПГБЦ (пробка,герметик)  ПРОФИ","900,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Techno Drive,УТ000005171,,1,5171
КАТЕГОРИИ ТОВАРОВ/Двигатель,b101bd22-6efc-11ed-0a80-08550017d5de,Товар,ПР-000160,Натяжитель ремня генератора Г-3302 дв.405 Евро-3  PRAVT,УТ000020985,PR.40624.1029010,шт,"1230,00","870,00",Натяжитель ремня генератора Г-3302 дв.405 Евро-3  PRAVT,"960,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,PRAVT,УТ000020985,,1,PR.40624.1029010
КАТЕГОРИИ ТОВАРОВ/Двигатель,b1b2a87b-6efc-11ed-0a80-08550017d601,Товар,ПР-000159,"Набор прокладок двигателя дв.4216 полный Г-3302""Бизнес"" Е-4 (пробка,герметик).",УТ000013504,13504,к-т,"1250,00","880,00","Набор прокладок двигателя дв.4216 полный Г-3302""Бизнес"" Е-4 (пробка,герметик).","970,00",,20,ИП Куканов Александр Алексеевич,0,0,41,,,,Techno Drive,УТ000013504,,1,13504
КАТЕГОРИИ ТОВАРОВ/Двигатель,b330d0ee-6efc-11ed-0a80-08550017d686,Товар,ПР-000153,"Набор прокладок двигателя дв.405,409 Евро-3 полный",УТ000005158,5158,к-т,"2050,00","1507,00","Набор прокладок двигателя дв.405,409 Евро-3 полный","1660,00",,20,ИП Куканов Александр Алексеевич,0,0,36,,,,ПРЗП,УТ000005158,,1,5158
КАТЕГОРИИ ТОВАРОВ/Двигатель,b51604bf-6efc-11ed-0a80-08550017d6fd,Товар,ПР-000151,"Набор прокладок двигателя Г-3302 дв.Cummins 2,8 полный",УТ000005131,5257188,к-т,"3600,00","2645,00","Набор прокладок двигателя Г-3302 дв.Cummins 2,8 полный","2910,00",,20,ИП Куканов Александр Алексеевич,0,0,36,,,,ПРЗП,УТ000005131,,1,5257188
КАТЕГОРИИ ТОВАРОВ/Двигатель,b72519b5-6efc-11ed-0a80-08550017d794,Товар,ПР-000149,"Набор ГРМ ""БОН-Алмаш"" дв.405 (полный)  Стандарт (Цепи-Киров)",УТ000008230,406-3906625-01,к-т,"6800,00","4999,00","Набор ГРМ ""БОН-Алмаш"" дв.405 (полный)  Стандарт (Цепи-Киров)","5500,00",,20,ИП Куканов Александр Алексеевич,0,0,36,,,,БОН,УТ000008230,,1,406-3906625-01
КАТЕГОРИИ ТОВАРОВ/Двигатель,b7891087-6efc-11ed-0a80-08550017d7aa,Товар,ПР-000150,"Набор ГРМ ""БОН-Алмаш"" дв.405 Евро-3 (полный)",УТ000008234,406-3906625-15,к-т,"7100,00","5216,00","Набор ГРМ ""БОН-Алмаш"" дв.405 Евро-3 (полный)","5740,00",,20,ИП Куканов Александр Алексеевич,0,0,36,,,,БОН,УТ000008234,,1,406-3906625-15
КАТЕГОРИИ ТОВАРОВ/Двигатель,b7ebfd76-6efc-11ed-0a80-08550017d7c0,Товар,ПР-000147,"Набор ГРМ ""XTURBO"" Евро-2 (на башмаках) (MAX-РЕСУРС) ""Идеальная фаза""",УТ000012266,406-3906625-2,к-т,"9460,00","7331,00","Набор ГРМ ""XTURBO"" Евро-2 (на башмаках) (MAX-РЕСУРС) ""Идеальная фаза""","8070,00",,20,ИП Куканов Александр Алексеевич,0,0,29,,,,XTURBO,УТ000012266,,1,406-3906625-2
КАТЕГОРИИ ТОВАРОВ/Двигатель,b8577710-6efc-11ed-0a80-08550017d7d5,Товар,ПР-000148,"Набор ГРМ ""XTURBO"" Евро-3 (на башмаках) (МАХ-РЕСУРС) цепи Чехия ""Идеальная фаза""",УТ000020666,406-3906625-3,к-т,"8510,00","6590,00","Набор ГРМ ""XTURBO"" Евро-3 (на башмаках) (МАХ-РЕСУРС) цепи Чехия ""Идеальная фаза""","7250,00",,20,ИП Куканов Александр Алексеевич,0,0,29,,,,XTURBO,УТ000020666,,1,406-3906625-3
КАТЕГОРИИ ТОВАРОВ/Двигатель,bbc0ec30-9bd4-11ed-0a80-1026000c0d19,Товар,11-000058,Насос маслянный УАЗ TRUCKMAN,17_00101012,451M-1011009-02,шт,"1390,00","1019,43",Насос маслянный УАЗ TRUCKMAN,"1130,00",Китай,20,"ООО ""СТМ""",0,0,36,,,,Нет бренда,17_00101012,,1,451M-1011009-02
КАТЕГОРИИ ТОВАРОВ/Двигатель,c656a755-9bd4-11ed-0a80-1026000c11ff,Товар,1-301004,Палец поршневой двс 421 УМЗ,В13541g,421-1004019,компл,"1750,00","1284,29",Палец поршневой двс 421 УМЗ,"1420,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,36,,,,УМЗ,13541g,,1,421-1004019
КАТЕГОРИИ ТОВАРОВ/Двигатель,cb5a0d4e-d3e3-11ee-0a80-04cf00245d54,Товар,1-932126,Патрубок ДМРВ для а/м Г-3302 двс 405 Евро 2 силикон 2 ручья CARUM,В204572s,3302-1109192-30,шт,"600,00","420,03",Патрубок ДМРВ для а/м Г-3302 двс 405 Евро 2 силикон 2 ручья CARUM,"470,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,41,,,,CARUM,204572s,,1,
КАТЕГОРИИ ТОВАРОВ/Двигатель,ce30aea3-9bd4-11ed-0a80-1026000c14cb,Товар,11-000059,Насос масляный Газ ЗМЗ 406 405 409 TRUCKMAN,17_00101009,406-1011010-03,шт,"3040,00","2228,61",Насос масляный Газ ЗМЗ 406 405 409 TRUCKMAN,"2460,00",Китай,20,"ООО ""СТМ""",0,0,36,,,,TRUCKMAN,17_00101009,,1,406-1011010-03
